Jumlah head,Kategori,TP,FP,FN,TN,F1-Score (%),Mean F1-Score (%)
0,ENTY,81,11,13,386,87.09,93.57
0,DESC,136,5,2,348,97.49,
0,HUM,61,6,4,420,92.42,
0,LOC,77,5,4,405,94.47,
0,NUM,107,2,6,376,96.39,
1,ENTY,77,7,17,390,86.51,93.56
1,DESC,134,9,4,344,95.37,
1,HUM,63,7,2,419,93.33,
1,LOC,79,5,2,405,95.75,
1,NUM,108,2,5,376,96.86,
2,ENTY,73,12,21,385,81.56,91.29
2,DESC,132,6,6,347,95.65,
2,HUM,61,5,4,421,93.12,
2,LOC,78,14,3,396,90.17,
2,NUM,107,3,6,375,95.96,
3,ENTY,63,5,31,392,77.77,90.12
3,DESC,137,16,1,337,94.15,
3,HUM,60,7,5,419,90.90,
3,LOC,79,13,2,397,91.32,
3,NUM,108,3,5,375,96.42,
5,ENTY,70,7,24,390,81.87,91.49
5,DESC,135,15,3,338,93.75,
5,HUM,60,6,5,420,91.60,
5,LOC,77,7,4,403,93.33,
5,NUM,110,4,3,374,96.91,
6,ENTY,70,8,24,389,81.39,90.83
6,DESC,135,11,3,342,95.07,
6,HUM,59,7,6,419,90.07,
6,LOC,79,14,2,396,90.80,
6,NUM,107,1,6,377,96.83,
10,ENTY,76,7,18,390,85.87,92.96
10,DESC,134,12,4,341,94.36,
10,HUM,61,5,4,421,93.12,
10,LOC,79,7,2,403,94.61,
10,NUM,108,2,5,376,96.86,
15,ENTY,79,10,15,387,86.33,93.10
15,DESC,133,10,5,343,94.66,
15,HUM,59,1,6,425,94.04,
15,LOC,81,10,0,400,94.18,
15,NUM,106,2,7,376,95.92,
25,ENTY,73,5,21,392,84.88,92.87
25,DESC,136,16,2,337,93.79,
25,HUM,63,6,2,420,94.02,
25,LOC,79,5,2,405,95.75,
25,NUM,106,2,7,376,95.92,
30,ENTY,73,8,21,389,83.42,92.40
30,DESC,134,5,4,348,96.75,
30,HUM,59,5,6,421,91.47,
30,LOC,80,8,1,402,94.67,
30,NUM,111,8,2,370,95.68,
50,ENTY,81,11,13,386,87.09,93.57
50,DESC,136,5,2,348,97.49,
50,HUM,61,6,4,420,92.42,
50,LOC,77,5,4,405,94.47,
50,NUM,107,2,6,376,96.39,
75,ENTY,78,10,16,387,85.71,92.95
75,DESC,137,7,1,346,97.16,
75,HUM,61,7,4,419,91.72,
75,LOC,79,6,2,404,95.18,
75,NUM,104,2,9,376,94.97,
150,ENTY,76,9,18,388,84.91,92.77
150,DESC,134,7,4,346,96.05,
150,HUM,63,8,2,8,92.64,
150,LOC,75,4,6,406,93.75,
150,NUM,110,5,3,373,96.49,
