n_heads,drop_rate,train_acc,test_acc,train_loss,test_loss,best_model_test_acc,best_model_test_loss,time,no
1,0.0,1.0000,0.9063136456211812,0.0002,0.5557531365430525,0.8859470468431772,0.32392421710758246,03:33,1
1,0.2,0.9920,0.9144602851323829,0.0268,0.41745300460493007,0.9144602851323829,0.24829994315042514,03:37,2
1,0.4,0.9765,0.9368635437881874,0.0669,0.21681715825728146,0.9348268839103869,0.2005305194927573,03:34,3
1,0.6,0.9548,0.9348268839103869,0.1401,0.17181431377674558,0.9307535641547862,0.1897254762241651,03:35,4
1,0.8,0.8087,0.9205702647657841,0.5304,0.26021467212989713,0.9205702647657841,0.26021467212989713,03:36,5
2,0.0,0.9892,0.9103869653767821,0.0342,0.47392316863638806,0.8635437881873728,0.3849379257005004,03:34,6
2,0.2,0.9927,0.9389002036659878,0.0278,0.24453629040426733,0.9348268839103869,0.21169199167832337,03:38,7
2,0.4,0.9776,0.9409368635437881,0.0705,0.27616941109451404,0.9307535641547862,0.21759635829148613,03:35,8
2,0.6,0.9447,0.9368635437881874,0.1616,0.19054936112308696,0.9287169042769857,0.1947129436155929,03:37,9
2,0.8,0.8468,0.9266802443991853,0.4240,0.2128615042464068,0.9144602851323829,0.23066098948603006,03:38,10
3,0.0,0.9951,0.9164969450101833,0.0146,0.47972993227954797,0.9083503054989817,0.3141609369615916,03:35,11
3,0.2,0.9925,0.9368635437881874,0.0212,0.2804758882267655,0.924643584521385,0.2198959395683953,03:37,12
3,0.4,0.9873,0.9287169042769857,0.0385,0.2807555492140368,0.9266802443991853,0.21347407432170604,03:35,13
3,0.6,0.9631,0.9429735234215886,0.1173,0.18633474479382003,0.9389002036659878,0.1590353493140574,03:35,14
3,0.8,0.8572,0.9226069246435845,0.4032,0.21190658563751796,0.9083503054989817,0.24066249246267096,03:37,15
5,0.0,0.9896,0.9124236252545825,0.0352,0.5222384771844277,0.90020366598778,0.3093528257732236,03:36,16
5,0.2,0.9918,0.9226069246435845,0.0254,0.355430237873023,0.9205702647657841,0.24772681256418558,03:37,17
5,0.4,0.9861,0.9389002036659878,0.0465,0.2878725615665772,0.9307535641547862,0.22032411235655883,03:38,18
5,0.6,0.9607,0.9389002036659878,0.1162,0.2266840298343336,0.9368635437881874,0.19358932890013134,03:36,19
5,0.8,0.8687,0.9287169042769857,0.3632,0.19664695179146807,0.9327902240325866,0.18992035227491996,03:38,20
6,0.0,0.9991,0.9185336048879837,0.0029,0.5891919146972858,0.9022403258655805,0.312740562798535,03:37,21
6,0.2,0.9887,0.9164969450101833,0.0352,0.3511744204703756,0.9144602851323829,0.2783221472547885,03:38,22
6,0.4,0.9880,0.9348268839103869,0.0441,0.27539411208415954,0.9185336048879837,0.2521981674335639,03:38,23
6,0.6,0.9586,0.9348268839103869,0.1242,0.22132553236062075,0.9287169042769857,0.18797023269649435,03:38,24
6,0.8,0.8696,0.9226069246435845,0.3575,0.23304648302844488,0.9287169042769857,0.20542814814753058,03:39,25
10,0.0,1.0000,0.9144602851323829,0.0001,0.5505659040025684,0.8940936863543788,0.3266905636020202,03:48,26
10,0.2,0.9906,0.9327902240325866,0.0300,0.34012704206034994,0.9185336048879837,0.24338626503458818,03:49,27
10,0.4,0.9901,0.9144602851323829,0.0320,0.3454753631790398,0.9368635437881874,0.20261479161543175,03:48,28
10,0.6,0.9666,0.945010183299389,0.1065,0.18681012282182147,0.9327902240325866,0.18217275736288238,03:47,29
10,0.8,0.8692,0.9226069246435845,0.3694,0.2031331090237604,0.9144602851323829,0.21778201431703664,03:41,30
15,0.0,1.0000,0.9063136456211812,0.0001,0.5506861555843392,0.90020366598778,0.31899480718944806,03:36,31
15,0.2,0.9911,0.9409368635437881,0.0280,0.30830294540239206,0.9266802443991853,0.24900947711496876,03:33,32
15,0.4,0.9885,0.9205702647657841,0.0371,0.34173703491080804,0.9164969450101833,0.2277792165636288,03:35,33
15,0.6,0.9633,0.9348268839103869,0.1090,0.27406980343117493,0.9205702647657841,0.18716142561795027,03:33,34
15,0.8,0.8807,0.9307535641547862,0.3469,0.20803450223991682,0.9287169042769857,0.19519807082693835,03:33,35
25,0.0,1.0000,0.9042769857433809,0.0000,0.7715667783607048,0.8839103869653768,0.3698745172038341,03:33,36
25,0.2,0.9927,0.9083503054989817,0.0248,0.5443744425132658,0.9205702647657841,0.2572382728885973,03:35,37
25,0.4,0.9878,0.9368635437881874,0.0376,0.2948100994779233,0.9226069246435845,0.22193847790876378,03:35,38
25,0.6,0.9708,0.9287169042769857,0.0835,0.1953010288676031,0.9185336048879837,0.21445381462331217,03:37,39
25,0.8,0.8746,0.9266802443991853,0.3505,0.20963133789614116,0.9348268839103869,0.19294675990423213,03:38,40
30,0.0,1.0000,0.9022403258655805,0.0001,0.6140067863852817,0.8940936863543788,0.3481365334538481,03:36,41
30,0.2,0.9927,0.9368635437881874,0.0308,0.2781677014230468,0.9266802443991853,0.24407716156144735,03:38,42
30,0.4,0.9899,0.9266802443991853,0.0319,0.2949330265920177,0.9226069246435845,0.2311975073729416,03:37,43
30,0.6,0.9638,0.9307535641547862,0.1120,0.28211076220766834,0.9409368635437881,0.17413754776393323,03:37,44
30,0.8,0.8816,0.9470468431771895,0.3353,0.18223402574810138,0.9307535641547862,0.19148110924573147,03:38,45
50,0.0,1.0000,0.9124236252545825,0.0001,0.6260657343262325,0.8818737270875764,0.3829692008539033,03:35,46
