no,train_acc,test_acc,train_loss,test_loss,drop_rate,vocab_size,n_heads,embedding_trainable,optimizer,optimizer_lr,weight_decay,cv_fold,epochs,use_stopwords,drop_abbreviation,notes
1,0,0.8780,0,0.6504,0.4,8966,1,False,AdamW,0.001,0.01,9,25,False,False,
2,0,0.9000,0,0.3201,0.4,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
3,0,0.8860,0,0.3925,0.6,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
4,0,0.8720,0,0.4517,0.6,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
5,0,0.8880,0,0.3742,0.4,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
6,0,0.9200,0,0.3019,0.4,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
7,0,0.8740,0,0.4306,0.7,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
8,0,0.8940,0,0.3493,0.2,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
9,0,0.8820,0,0.3850,0.2,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
10,0,0.8880,0,0.3402,0.2,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
11,0,0.8860,0,0.4265,0.2,8966,1,False,AdamW,0.001,0.01,10,15,False,False,change feed forward linear into times 1
12,0,0.9000,0,0.3087,0.2,8966,1,False,AdamW,0.001,0.1,10,15,False,False,change feed forward linear into times 1
13,0,0.9020,0,0.3444,0.2,8966,1,False,AdamW,0.001,0.1,10,15,False,False,change feed forward linear into times 1
14,0,0.9020,0,0.3881,0.2,8966,1,False,AdamW,0.001,0.1,10,20,False,False,change feed forward linear into times 1
15,0,0.8880,0,0.3220,0.2,8966,1,False,AdamW,0.001,0.1,10,20,False,False,change feed forward linear into times 1
16,0,0.8540,0,0.4259,0.5,8966,1,False,AdamW,0.001,0.1,10,20,False,False,change feed forward linear into times 1
17,0,0.8700,0,0.4700,0.5,8966,1,False,AdamW,0.001,0.01,10,20,False,False,change feed forward linear into times 1
18,0,0.8240,0,0.5015,0.5,8966,1,False,AdamW,0.0001,0.01,10,20,False,False,change feed forward linear into times 1
19,0,0.8520,0,0.4417,0.5,8966,1,False,AdamW,0.001,0.01,10,20,False,False,change feed forward linear into times 1
