no,train_acc,test_acc,train_loss,test_loss,drop_rate,vocab_size,n_heads,embedding_trainable,optimizer,optimizer_lr,weight_decay,cv_fold,epochs,use_stopwords,drop_abbreviation,notes
1,0.8915,0.9206,0.3056,0.2231,0.5,8838,1,False,AdamW,0.001,0.1,10,20,False,True,"pengujian epoch"
2,0.9529,0.9328,0.1420,0.1815,0.5,8838,1,False,AdamW,0.001,0.1,10,40,False,True,pengujian epoch
3,0.9744,0.9409,0.0762,0.1848,0.5,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian epoch
4,0.9819,0.9369,0.0577,0.1959,0.5,8838,1,False,AdamW,0.001,0.1,10,80,False,True,pengujian epoch
5,0.9800,0.9430,0.0640,0.2615,0.5,8838,1,False,AdamW,0.001,0.1,10,100,False,True,pengujian epoch
6,0.9760,0.9308,0.0782,0.2183,0.5,8838,1,False,AdamW,0.001,0.1,10,100,False,True,"batas pengujian epoch"
7,1.0000,0.9185,0.0001,0.4716,0.0,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian dropout
8,0.9880,0.9430,0.0431,0.2284,0.2,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian dropout
9,0.9779,0.9430,0.0651,0.2210,0.4,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian dropout
10,0.9513,0.9450,0.1415,0.1580,0.6,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian dropout
11,0.8339,0.9145,0.4720,0.2266,0.8,8838,1,False,AdamW,0.001,0.1,10,60,False,True,"batas pengujian dropout"
12,0.2365,0.1324,1.5985,1.6422,0.6,8838,1,False,AdamW,0.1,0.1,10,60,False,True,pengujian learning rate
13,0.2384,0.1914,1.5968,1.6263,0.6,8838,1,False,AdamW,0.01,0.1,10,60,False,True,pengujian learning rate
14,0.9464,0.9389,0.1656,0.1618,0.6,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian learning rate
15,0.8136,0.9063,0.5047,0.3029,0.6,8838,1,False,AdamW,0.0001,0.1,10,60,False,True,pengujian learning rate
16,0.5955,0.7434,1.0098,0.7356,0.6,8838,1,False,AdamW,1e-05,0.1,10,60,False,True,pengujian learning rate
17,0.3056,0.3971,1.5789,1.5914,0.6,8838,1,False,AdamW,1e-06,0.1,10,60,False,True,"batas pengujian learning rate"
18,0.9464,0.9470,0.1537,0.1503,0.6,8838,1,False,AdamW,0.001,0.1,10,60,False,True,pengujian weight decay
19,0.9626,0.9409,0.1132,0.1768,0.6,8838,1,False,AdamW,0.001,0.01,10,60,False,True,pengujian weight decay
