no,scenario_num,epoch,total_epoch,vocabulary,drop_rate,learning_rate,weight_decay,vocabulary_total,n_heads,train_acc,test_acc,train_loss,test_loss,time
1,1,100,42,None,0.5,0.001,0.01,8898,0,0.9409,0.9327902240325866,0.1866,0.19175879236940455,02:15
2,2,100,23,None,0.5,0.001,0.01,8898,1,0.9172,0.9389002036659878,0.2371,0.2017333271425756,01:24
3,3,100,25,None,0.5,0.001,0.01,8898,2,0.9264,0.9185336048879837,0.2087,0.20625072131938701,01:37
4,4,100,18,None,0.5,0.001,0.01,8898,3,0.8918,0.9103869653767821,0.3035,0.22638780989374988,01:11
5,5,100,20,None,0.5,0.001,0.01,8898,5,0.9056,0.9205702647657841,0.2679,0.1933174558788113,01:17
6,6,100,24,None,0.5,0.001,0.01,8898,6,0.9254,0.9164969450101833,0.1952,0.20791026974161386,01:31
7,7,100,22,None,0.5,0.001,0.01,8898,10,0.9240,0.9327902240325866,0.2163,0.17708121118744619,01:22
8,8,100,24,None,0.5,0.001,0.01,8898,15,0.9318,0.9327902240325866,0.1949,0.20404000428567837,01:29
9,9,100,28,None,0.5,0.001,0.01,8898,25,0.9541,0.9307535641547862,0.1429,0.20228854486388734,01:45
10,10,100,24,None,0.5,0.001,0.01,8898,30,0.9336,0.9307535641547862,0.1847,0.19458356839576224,01:29
11,11,100,25,None,0.5,0.001,0.01,8898,50,0.9426,0.9409368635437881,0.1789,0.17000421314156955,01:33
12,12,100,23,None,0.5,0.001,0.01,8898,75,0.9311,0.9348268839103869,0.1904,0.20667347891631777,01:25
13,13,100,21,None,0.5,0.001,0.01,8898,150,0.9280,0.9327902240325866,0.2030,0.19700740899913421,01:19
